period,REFINOBS,TOTIMPSB,crude_qty_10000t,crude_value_usd_1000,refined_qty_10000t,refined_value_usd_1000,days,gacc_crude_kbd,discrepancy_crude
2019-01-01,13880.1368,10228.1652,,,,,31,,
2019-02-01,13659.9043,10066.0457,,,,,28,,
2019-03-01,12853.4477,9289.3161,,,,,31,,
2019-04-01,14654.884,10670.12,,,,,30,,
2019-05-01,13567.9742,9499.471,,,,,31,,
2019-06-01,13522.968,9657.52,,,,,30,,
2019-07-01,13359.9445,9690.7355,,,,,31,,
2019-08-01,13830.7858,9957.5613,,,,,31,,
2019-09-01,14204.46,10062.56,,,,,30,,
2019-10-01,14615.6787,10746.2323,,,,,31,,
2019-11-01,14865.212,11160.56,,,,,30,,
2019-12-01,14793.4839,10739.1484,,,,,31,,
2020-01-01,13814.2568,10420.3742,,,,,31,,
2020-02-01,14040.5172,10591.2828,,,,,29,,
2020-03-01,13431.7277,9704.9032,,,,,31,,
2020-04-01,14694.9,9864.92,,,,,30,,
2020-05-01,15421.5871,11327.1097,,,,,31,,
2020-06-01,17056.576,12975.92,,,,,30,,
2020-07-01,15581.4465,12111.0581,,,,,31,,
2020-08-01,14859.3639,11211.4065,,,,,31,,
2020-09-01,16478.052,11829.608,,,,,30,,
2020-10-01,13908.7084,10049.6516,,,,,31,,
2020-11-01,14885.952,11067.84,,,,,30,,
2020-12-01,12865.7265,9083.8839,,,,,31,,
2021-01-01,14532.5613,10731.8284,,,,,31,,
2021-02-01,15619.5729,11534.49,,,,,28,,
2021-03-01,15746.7368,11725.9316,,,,,31,,
2021-04-01,13851.148,9847.84,,,,,30,,
2021-05-01,13694.5394,9673.7342,,,,,31,,
2021-06-01,13819.672,9792.94,,,,,30,,
2021-07-01,13581.6697,9737.9613,,,,,31,,
2021-08-01,14535.631,10514.8258,,,,,31,,
2021-09-01,14050.008,10016.2,,,,,30,,
2021-10-01,12878.7135,8925.6774,,,,,31,,
2021-11-01,13997.792,10196.76,,,,,30,,
2021-12-01,14659.5987,10894.9935,,,,,31,,
2022-01-01,13931.3768,10015.1768,,,,,31,,
2022-02-01,15537.2229,11169.7971,,,,,28,,
2022-03-01,14267.6245,10085.071,,,,,31,,
2022-04-01,14605.352,10499.32,,,,,30,,
2022-05-01,14967.511,10819.4323,,,,,31,,
2022-06-01,12883.2,8739.836,,,,,30,,
2022-07-01,12847.3084,8814.2245,,,,,31,,
2022-08-01,13414.2542,9528.751,,,,,31,,
2022-09-01,13743.788,9819.048,,,,,30,,
2022-10-01,14207.8839,10186.6065,,,,,31,,
2022-11-01,15499.612,11404.56,,,,,30,,
