DateTime,Container_calls,Dry_Bulk_calls,General_Cargo_calls,Roll-on/roll-off_calls,Tanker_calls,Container_volume,Dry_Bulk_volume,General_Cargo_volume,Roll-on/roll-off_volume,Tanker_volume,vol_per_call_7d
2019-01-01,8,11,2,3,42,191610,326461,10255,2898,2495676,
2019-01-02,13,10,0,2,45,547743,487020,0,2013,1680733,
2019-01-03,11,10,4,0,54,428426,360563,12144,0,2922246,
2019-01-04,12,14,2,1,42,573967,438669,22708,8512,1559196,
2019-01-05,15,13,3,1,41,557629,659561,2521,0,2151691,
2019-01-06,7,15,1,2,40,129019,490939,1799,7826,2487646,
2019-01-07,10,8,4,1,60,343721,226869,14350,2281,2479232,48692.654320987655
2019-01-08,8,10,8,1,42,363172,382677,58634,0,1089847,44353.67592592593
2019-01-09,7,6,4,1,26,271559,281960,9307,0,1885463,47787.93770491803
2019-01-10,10,8,6,2,43,286487,189300,25189,12097,807159,42381.748299319726
2019-01-11,8,9,4,1,49,315331,220227,4757,6926,1015141,39588.634551495015
2019-01-12,8,10,6,0,42,235034,214084,31290,0,795232,34965.96026490066
2019-01-13,7,12,2,1,28,374576,415932,5407,0,1585647,33302.48620689655
2019-01-14,8,6,4,5,43,460797,122220,17756,4518,3009894,37320.08424908425
2019-01-15,12,10,4,4,32,552642,113578,27156,13915,1447540,40099.14828897338
2019-01-16,10,19,6,1,37,477913,583847,19872,0,2347453,40175.42335766424
2019-01-17,11,13,4,0,37,353541,517151,10013,0,2146416,46072.100746268654
2019-01-18,11,7,1,0,38,393980,269350,4546,0,2116818,52330.7392996109
2019-01-19,9,11,4,2,41,313474,149061,15137,0,1566967,55549.74609375
2019-01-20,11,14,5,2,50,379462,623089,35572,3476,1627617,51304.69424460432
2019-01-21,7,11,6,2,41,281689,370999,59561,8883,357934,42067.916666666664
2019-01-22,8,8,2,3,43,267049,378121,9020,6352,2228951,43178.243902439026
2019-01-23,5,6,0,0,38,265863,44838,0,0,2002254,41829.711805555555
2019-01-24,6,9,1,0,35,123371,223192,17519,0,2050334,41786.27622377622
2019-01-25,11,9,4,0,30,435737,253029,34051,0,1493370,40746.140287769784
2019-01-26,10,12,3,0,47,409224,337253,9592,0,1890765,41025.44014084507
2019-01-27,10,12,2,0,44,327753,617858,32752,0,2508779,45080.52877697842
2019-01-28,11,12,3,3,35,288592,369533,23678,9034,1126002,48898.731617647056
2019-01-29,11,7,4,0,38,446134,375494,11055,0,2361125,50309.47191011236
2019-01-30,7,14,4,2,44,198816,552539,11766,4234,1531906,47480.882783882786
2019-01-31,6,9,5,1,32,293004,368901,20187,2013,1806392,47104.95925925926
2019-02-01,8,8,3,0,39,282772,233110,16277,0,1851368,46868.591397849465
2019-02-02,10,3,4,1,40,357447,126345,16182,2013,2494766,50295.36029411765
2019-02-03,6,9,6,2,42,249022,205446,54444,0,1686854,47623.751851851855
2019-02-04,7,14,2,1,38,336169,370599,8381,0,1010318,46676.663003663
2019-02-05,9,18,1,3,35,384026,251039,0,7281,634799,40801.49259259259
2019-02-06,8,12,2,0,36,297577,373934,17196,0,1085360,40342.96564885496
2019-02-07,8,17,1,5,39,244359,431909,4180,4219,1825098,39362.687732342005
2019-02-08,9,11,2,2,45,302333,278857,3152,0,989152,35368.534545454546
2019-02-09,6,10,4,0,50,217217,359963,37973,0,1709525,31372.301754385964
2019-02-10,8,12,6,0,45,375324,527123,57873,0,2500360,33870.180555555555
2019-02-11,7,9,1,2,30,393358,458930,0,0,1211492,35556.37857142857
2019-02-12,11,9,3,3,36,396885,406913,7862,8901,679577,35589.195729537365
2019-02-13,3,13,2,1,40,158819,428082,10900,0,949458,34612.84912280702
2019-02-14,9,13,6,2,44,457266,416099,3740,341,1022426,31248.241379310344
2019-02-15,10,16,5,2,40,375536,456946,18448,341,1830094,34747.1298245614
2019-02-16,11,14,2,0,47,500271,542967,6856,0,1968781,36036.12765957447
2019-02-17,4,9,2,0,34,270852,340247,4178,0,973603,31865.059040590408
2019-02-18,13,17,4,1,47,392158,363023,14049,3877,1414823,30690.145833333332
2019-02-19,8,10,7,2,38,328697,416404,27796,6764,977417,31505.524137931036
2019-02-20,10,15,5,0,46,208880,370882,16227,0,760090,30227.141891891893
2019-02-21,9,18,1,3,53,236942,360272,2720,6324,931179,29036.02295081967
2019-02-22,16,15,1,3,51,377270,521817,0,3736,1929967,28341.32911392405
2019-02-23,12,10,6,1,56,594397,479144,4919,5803,2383118,28831.375384615385
2019-02-24,13,14,3,3,45,591626,350721,39677,10575,1466085,29353.21130952381
2019-02-25,10,9,2,0,34,441722,274243,5759,0,1416791,30540.702786377708
2019-02-26,12,10,3,1,33,453473,439146,18801,3679,892455,30753.72641509434
2019-02-27,1,16,0,1,30,78576,695207,0,0,780024,32449.06953642384
2019-02-28,7,14,1,4,38,306150,225223,5265,6910,1417121,35838.19163763066
2019-03-01,8,10,3,3,55,339615,288112,12210,0,2744314,38144.01374570447
2019-03-02,13,14,3,1,40,358677,717664,8530,0,1013580,35383.163636363635
2019-03-03,7,14,1,3,48,305706,508015,4406,3496,1059240,33537.859712230216
2019-03-04,7,9,3,1,36,295692,199645,25445,2901,610519,30418.760714285716
2019-03-05,14,12,3,2,47,620848,421074,7334,0,1912592,32440.102040816328
2019-03-06,11,14,7,1,57,411827,661801,14847,0,1431073,31739.68535825545
2019-03-07,4,10,3,1,35,116283,356514,16790,0,1042593,30861.35534591195
2019-03-08,5,17,3,1,51,197968,604930,8721,3732,2380754,30096.65923566879
2019-03-09,15,10,3,1,61,886899,283269,22919,0,2364771,32243.40895522388
2019-03-10,7,7,1,2,39,439319,261993,1501,7573,776267,32265.5490797546
2019-03-11,8,11,1,1,26,242532,248768,31146,4322,516214,32988.17721518988
2019-03-12,9,7,0,2,39,328633,230937,0,3182,3360945,38547.457792207795
2019-03-13,12,15,3,1,47,274753,501198,15554,0,2385427,43043.526845637585
2019-03-14,10,9,4,3,38,373175,222404,11117,3242,1854419,45311.617940199336
2019-03-15,6,11,3,4,39,239500,401899,4018,0,2533719,47722.35986159169
2019-03-16,9,12,1,1,37,356008,298690,19909,0,1504703,48798.84528301887
2019-03-17,12,12,3,2,50,604749,422671,12120,7573,1408745,49145.55072463768
2019-03-18,6,2,1,1,34,134114,70432,4406,2884,1241617,50315.40492957747
2019-03-19,12,10,2,2,39,486753,203478,9988,0,1273998,42967.0
2019-03-20,11,11,3,2,45,408014,209356,550,4602,1511595,40173.035460992905
2019-03-21,5,13,3,1,39,127072,281689,66027,3267,1583965,39075.413427561834
2019-03-22,8,14,1,1,37,265488,506447,152,0,1533779,35795.02491103203
2019-03-23,12,14,2,2,38,509366,415541,4118,0,2250838,38313.9609929078
2019-03-24,9,11,7,1,36,240386,215418,23478,3332,641687,37453.27985074627
2019-03-25,12,9,5,0,27,583064,365245,41411,0,620773,36079.06130268199
2019-03-26,9,13,1,2,38,378306,371319,0,0,949423,34969.46153846154
2019-03-27,11,6,4,4,42,434390,112006,17249,9022,860056,32842.494163424126
2019-03-28,6,7,2,1,33,221955,195082,23365,0,2131023,35807.08764940239
2019-03-29,13,19,6,2,40,640711,498708,14117,0,2165428,37870.97637795276
2019-03-30,12,11,3,0,55,448897,264507,22166,0,1876682,34114.656826568265
2019-03-31,5,10,4,3,38,166312,283412,25146,0,2000944,38843.69597069597
2019-04-01,13,14,1,1,49,596990,408659,17458,0,1337594,38376.779661016946
2019-04-02,9,12,4,2,31,295859,268716,31051,4157,1174054,40089.51736111111
2019-04-03,10,14,3,3,35,347637,258777,4000,2043,1699083,44074.04982206406
2019-04-04,2,9,1,2,23,98951,270253,20862,8236,306163,38966.59778597786
2019-04-05,9,18,2,2,47,220592,619849,8578,4684,2191199,38078.125899280574
2019-04-06,11,16,3,2,50,486460,479273,11116,7746,1626493,37859.08424908425
2019-04-07,11,9,2,1,47,434792,400295,12971,5159,1854930,36133.035460992905
2019-04-08,17,11,6,1,47,635446,245171,58881,5449,1671463,37583.517857142855
2019-04-09,7,10,4,4,58,353848,228908,17584,4340,2549512,38758.44625407166
2019-04-10,10,13,3,0,39,358549,505239,33111,0,2048066,39382.07717041801
2019-04-11,10,8,3,0,47,370168,228219,35170,0,2365827,42708.92537313433
2019-04-12,4,11,4,1,40,172073,442456,27634,3136,1103373,40303.85365853659
2019-04-13,12,11,3,3,44,485210,313813,9775,8171,1197040,39721.15217391304
2019-04-14,7,11,1,1,27,250417,238938,15240,0,1012999,39563.84105960265
2019-04-15,8,24,4,4,49,288816,1093914,19259,8171,1582141,39009.73026315789
2019-04-16,16,14,6,2,43,645006,575214,22222,9542,2001985,39139.899653979235
2019-04-17,10,22,6,3,48,262916,989915,24390,7538,3554368,43012.526845637585
2019-04-18,8,15,1,0,44,326788,412040,0,0,2543778,44053.166101694915
2019-04-19,13,17,2,1,67,549336,347805,9368,0,3293738,47161.642857142855
2019-04-20,15,19,3,2,57,550733,510122,9932,3179,2770762,50029.1671641791
2019-04-21,14,20,5,3,49,535051,538848,22150,4429,1736573,48972.95518207283
2019-04-22,19,26,0,2,49,796079,999531,0,0,3157422,53385.50700280112
2019-04-23,5,14,2,3,34,156562,458744,38800,8309,2096022,55036.387931034486
2019-04-24,16,8,3,2,43,524978,333928,8843,0,2015749,51352.897959183676
2019-04-25,11,14,2,2,46,389588,308400,7120,7998,1060580,46756.07536231884
2019-04-26,12,15,2,1,45,423562,813335,12171,464,2159687,46429.705882352944
2019-04-27,13,19,6,3,65,552442,477745,71857,2673,2979808,45939.09667673716
2019-04-28,14,17,6,2,52,561918,556905,30743,2673,3666875,51305.81736526946
2019-04-29,16,21,4,4,58,460018,779666,22215,11153,2848702,49059.54227405248
2019-04-30,8,15,3,2,42,411847,513189,23912,6930,2037684,47775.17094017094
2019-05-01,6,15,4,1,37,309933,439365,27680,3859,1159043,46122.83768115942
2019-05-02,13,19,8,2,62,636619,490694,19297,3859,2893659,49156.39335180055
2019-05-03,17,22,7,1,52,627477,717975,55129,0,2522019,49205.95108695652
2019-05-04,10,13,3,1,49,532537,567875,45392,0,4198945,54906.04261363636
2019-05-05,11,12,2,0,37,435404,574665,4934,0,2506935,53907.97329376855
2019-05-06,11,17,1,2,47,408766,559881,0,2277,2768993,55482.447852760735
2019-05-07,10,10,4,3,54,398433,201643,17758,5299,1979308,53339.94674556213
2019-05-08,17,21,2,1,62,377004,539757,6409,2761,3204031,55299.972451790636
2019-05-09,16,16,3,1,36,374970,585035,14149,6223,1823559,56391.06824925816
2019-05-10,13,13,0,0,47,602665,347291,0,0,1666790,54664.340361445786
2019-05-11,12,14,0,1,50,494372,539833,0,3944,1765276,47191.86786786787
2019-05-12,9,12,4,1,49,277199,587980,8443,0,3104457,47282.35942028985
2019-05-13,13,15,5,3,48,474853,231322,13805,3209,2383458,46031.44219653179
2019-05-14,10,11,3,2,27,266968,356256,32491,13095,1338722,47919.41379310345
2019-05-15,6,20,0,1,55,317139,569398,0,0,2987626,48300.92307692308
2019-05-16,8,15,2,1,47,192157,391955,6548,3209,2514083,48793.84520123839
2019-05-17,15,22,4,3,57,460684,778140,10567,3362,2681620,50376.1021021021
2019-05-18,8,15,0,3,47,241259,420165,0,2711,2615678,53411.04242424243
2019-05-19,10,9,4,2,53,331495,202740,47428,0,3403923,53667.99401197605
2019-05-20,8,12,0,3,42,236106,222940,0,0,2423271,54771.10670731707
2019-05-21,9,9,1,1,32,371400,244813,22260,0,2612374,57773.4984984985
2019-05-22,10,11,6,2,39,339651,288030,59706,1602,1349228,55521.06309148265
2019-05-23,10,10,5,2,53,295631,204586,31480,0,2631367,54852.82043343653
2019-05-24,18,12,5,4,49,652512,484924,35858,0,1895393,53749.94920634921
2019-05-25,17,17,0,1,50,617902,797259,0,0,3057128,54631.08176100629
2019-05-26,8,16,0,0,54,297926,891327,0,0,2097967,50365.9184952978
2019-05-27,16,18,3,2,62,808782,700585,16085,0,3628989,50951.16814159292
2019-05-28,12,11,5,1,35,388836,230445,31748,0,1200638,46376.34502923977
2019-05-29,14,25,6,1,52,579345,576366,43452,0,2337477,47461.85633802817
2019-05-30,14,19,2,1,66,398638,383706,28500,2483,3027073,46860.502717391304
2019-05-31,15,18,3,0,52,534012,935541,31275,0,1734419,46047.684636118596
2019-06-01,5,7,0,2,28,200506,410252,0,0,1127553,43421.53581661891
2019-06-02,13,14,6,1,58,609472,388785,28824,5962,2912506,45236.98300283286
2019-06-03,16,16,3,2,67,623522,573293,28561,464,4133846,46015.39664804469
2019-06-04,10,19,3,3,70,439923,531418,25373,292,2874286,46175.9796437659
2019-06-05,4,15,2,1,36,109468,427945,4720,292,1374972,45582.63925729443
2019-06-06,16,20,3,0,43,429104,549759,0,0,639743,41800.353107344636
2019-06-07,14,16,5,0,57,631106,614929,10615,0,3667504,46602.81337047354
2019-06-08,9,15,3,3,51,319433,766410,4365,5676,2422220,47186.06544502618
2019-06-09,8,13,4,3,43,430110,377751,7598,2912,1308199,44743.24250681199
2019-06-10,11,23,1,4,46,336060,484053,3043,2912,2260809,42045.471098265894
2019-06-11,9,20,5,4,54,356626,477141,28786,5088,3032854,44564.548484848485
2019-06-12,10,16,1,2,51,371576,345109,0,0,2707077,46488.13333333333
2019-06-13,9,8,4,1,39,427038,98453,40957,0,1461778,49444.10850439883
2019-06-14,9,18,1,1,36,385228,363333,37465,3747,1390513,45573.28125
2019-06-15,16,17,2,0,35,516018,519431,6731,0,1402003,44615.89802631579
2019-06-16,19,13,4,0,77,574923,584964,20880,0,4390680,49247.674556213016
2019-06-17,10,22,3,1,59,451268,1151423,2418,0,2711051,48706.42735042735
2019-06-18,12,19,2,1,52,356962,903111,2418,0,3424160,50106.767908309455
2019-06-19,8,14,0,4,48,336782,419283,0,7666,1625875,47416.35838150289
2019-06-20,16,15,5,4,52,578077,425942,38362,10710,1680540,46308.696378830085
2019-06-21,18,18,3,3,53,803255,458823,45680,11900,2732664,47784.50265957447
