period,duoarea,area-name,value,units,is_aggregate
2019-01-01,NUS-NSA,SAU,22039,MBBL,False
2019-01-01,NUS-ME0,NA,70498,MBBL,True
2019-01-01,NUS-NIZ,IRQ,13274,MBBL,False
2019-01-01,NUS-MP0,NA,35876,MBBL,True
2019-01-01,NUS-NEC,ECU,7370,MBBL,False
2019-01-01,NUS-NCD,TCD,477,MBBL,False
2019-01-01,NUS-NTD,TTO,846,MBBL,False
2019-01-01,NUS-NBH,BLZ,68,MBBL,False
2019-01-01,NUS-NKU,KWT,563,MBBL,False
2019-01-01,NUS-NAG,DZA,636,MBBL,False
2019-01-01,NUS-NAO,AGO,248,MBBL,False
2019-01-01,NUS-NVE,VEN,17403,MBBL,False
2019-01-01,NUS-MN0,NA,163809,MBBL,True
2019-01-01,NUS-NRS,RUS,3989,MBBL,False
2019-01-01,NUS-NUK,GBR,1030,MBBL,False
2019-01-01,NUS-NCA,CAN,123214,MBBL,False
2019-01-01,NUS-NCF,COG,1801,MBBL,False
2019-01-01,NUS-NNO,NOR,1299,MBBL,False
2019-01-01,NUS-NEK,GNQ,653,MBBL,False
2019-01-01,NUS-NLY,LBY,1645,MBBL,False
2019-01-01,NUS-NBR,BRA,2010,MBBL,False
2019-01-01,NUS-Z00,U.S.,234307,MBBL,True
2019-01-01,NUS-NGH,GHA,682,MBBL,False
2019-01-01,NUS-NCO,COL,10976,MBBL,False
2019-01-01,NUS-NNI,NGA,4866,MBBL,False
2019-01-01,NUS-NEG,EGY,248,MBBL,False
2019-01-01,NUS-NAR,ARG,2033,MBBL,False
2019-01-01,NUS-NMX,MEX,16937,MBBL,False
2019-02-01,NUS-NSA,SAU,16154,MBBL,False
2019-02-01,NUS-NSS,NA,601,MBBL,False
2019-02-01,NUS-NKZ,KAZ,1306,MBBL,False
2019-02-01,NUS-ME0,NA,44911,MBBL,True
2019-02-01,NUS-NIZ,IRQ,11828,MBBL,False
2019-02-01,NUS-MP0,NA,30941,MBBL,True
2019-02-01,NUS-NEC,ECU,4312,MBBL,False
2019-02-01,NUS-NCD,TCD,472,MBBL,False
2019-02-01,NUS-NTD,TTO,1128,MBBL,False
2019-02-01,NUS-NKU,KWT,2959,MBBL,False
2019-02-01,NUS-NAG,DZA,1041,MBBL,False
2019-02-01,NUS-NVE,VEN,6772,MBBL,False
2019-02-01,NUS-MN0,NA,141846,MBBL,True
2019-02-01,NUS-NRS,RUS,2406,MBBL,False
2019-02-01,NUS-NCA,CAN,102751,MBBL,False
2019-02-01,NUS-NGT,GTM,272,MBBL,False
2019-02-01,NUS-NNO,NOR,989,MBBL,False
2019-02-01,NUS-NEK,GNQ,306,MBBL,False
2019-02-01,NUS-NLY,LBY,1000,MBBL,False
2019-02-01,NUS-NBR,BRA,1487,MBBL,False
2019-02-01,NUS-Z00,U.S.,186757,MBBL,True
2019-02-01,NUS-NBX,BRN,417,MBBL,False
2019-02-01,NUS-NGH,GHA,981,MBBL,False
2019-02-01,NUS-NCO,COL,9647,MBBL,False
2019-02-01,NUS-NNI,NGA,539,MBBL,False
2019-02-01,NUS-NEG,EGY,200,MBBL,False
2019-02-01,NUS-NAR,ARG,523,MBBL,False
2019-02-01,NUS-NMX,MEX,18666,MBBL,False
2019-03-01,NUS-NSA,SAU,19837,MBBL,False
2019-03-01,NUS-NKZ,KAZ,1498,MBBL,False
2019-03-01,NUS-ME0,NA,45972,MBBL,True
2019-03-01,NUS-NIZ,IRQ,8538,MBBL,False
2019-03-01,NUS-MP0,NA,32387,MBBL,True
2019-03-01,NUS-NEC,ECU,3853,MBBL,False
2019-03-01,NUS-NTD,TTO,1895,MBBL,False
2019-03-01,NUS-NDA,DNK,723,MBBL,False
2019-03-01,NUS-NKU,KWT,4012,MBBL,False
2019-03-01,NUS-NAG,DZA,1041,MBBL,False
2019-03-01,NUS-NAO,AGO,324,MBBL,False
2019-03-01,NUS-NVE,VEN,1454,MBBL,False
2019-03-01,NUS-MN0,NA,164304,MBBL,True
2019-03-01,NUS-NRS,RUS,2917,MBBL,False
2019-03-01,NUS-NUK,GBR,1530,MBBL,False
2019-03-01,NUS-NCA,CAN,115733,MBBL,False
2019-03-01,NUS-NGT,GTM,271,MBBL,False
2019-03-01,NUS-NCF,COG,1934,MBBL,False
2019-03-01,NUS-NNO,NOR,1669,MBBL,False
2019-03-01,NUS-NLY,LBY,785,MBBL,False
2019-03-01,NUS-NBR,BRA,2716,MBBL,False
2019-03-01,NUS-Z00,U.S.,210276,MBBL,True
2019-03-01,NUS-NBX,BRN,1022,MBBL,False
2019-03-01,NUS-NGH,GHA,378,MBBL,False
2019-03-01,NUS-NCO,COL,12116,MBBL,False
2019-03-01,NUS-NNI,NGA,4194,MBBL,False
2019-03-01,NUS-NEG,EGY,699,MBBL,False
2019-03-01,NUS-NAR,ARG,747,MBBL,False
2019-03-01,NUS-NMX,MEX,20390,MBBL,False
2019-04-01,NUS-NSA,SAU,17055,MBBL,False
2019-04-01,NUS-NKZ,KAZ,3319,MBBL,False
2019-04-01,NUS-ME0,NA,42351,MBBL,True
2019-04-01,NUS-NIZ,IRQ,7947,MBBL,False
2019-04-01,NUS-MP0,NA,26818,MBBL,True
2019-04-01,NUS-NEC,ECU,3850,MBBL,False
2019-04-01,NUS-NTD,TTO,1001,MBBL,False
2019-04-01,NUS-NDA,DNK,771,MBBL,False
2019-04-01,NUS-NCM,CMR,658,MBBL,False
2019-04-01,NUS-NKU,KWT,1816,MBBL,False
2019-04-01,NUS-NAG,DZA,1047,MBBL,False
2019-04-01,NUS-NAO,AGO,951,MBBL,False
2019-04-01,NUS-NVE,VEN,3429,MBBL,False
2019-04-01,NUS-MN0,NA,167607,MBBL,True
2019-04-01,NUS-NRS,RUS,5464,MBBL,False
2019-04-01,NUS-NUK,GBR,3289,MBBL,False
2019-04-01,NUS-NCA,CAN,115642,MBBL,False
2019-04-01,NUS-NNO,NOR,1458,MBBL,False
2019-04-01,NUS-NLY,LBY,2339,MBBL,False
2019-04-01,NUS-NBR,BRA,2454,MBBL,False
2019-04-01,NUS-Z00,U.S.,209958,MBBL,True
2019-04-01,NUS-NGH,GHA,944,MBBL,False
2019-04-01,NUS-NCO,COL,11568,MBBL,False
2019-04-01,NUS-NNI,NGA,3917,MBBL,False
2019-04-01,NUS-NEG,EGY,461,MBBL,False
2019-04-01,NUS-NAR,ARG,1031,MBBL,False
2019-04-01,NUS-NMX,MEX,19547,MBBL,False
2019-05-01,NUS-NSA,SAU,14015,MBBL,False
2019-05-01,NUS-ME0,NA,48172,MBBL,True
2019-05-01,NUS-NIZ,IRQ,11340,MBBL,False
2019-05-01,NUS-MP0,NA,27108,MBBL,True
2019-05-01,NUS-NEC,ECU,5519,MBBL,False
2019-05-01,NUS-NTD,TTO,1021,MBBL,False
2019-05-01,NUS-NDA,DNK,1315,MBBL,False
2019-05-01,NUS-NKU,KWT,1753,MBBL,False
2019-05-01,NUS-NAG,DZA,1650,MBBL,False
2019-05-01,NUS-NAO,AGO,1433,MBBL,False
2019-05-01,NUS-NVE,VEN,343,MBBL,False
2019-05-01,NUS-MN0,NA,173597,MBBL,True
2019-05-01,NUS-NRS,RUS,5881,MBBL,False
2019-05-01,NUS-NUK,GBR,4305,MBBL,False
2019-05-01,NUS-NCA,CAN,117216,MBBL,False
2019-05-01,NUS-NGT,GTM,283,MBBL,False
2019-05-01,NUS-NCF,COG,905,MBBL,False
2019-05-01,NUS-NNO,NOR,2589,MBBL,False
2019-05-01,NUS-NEK,GNQ,663,MBBL,False
2019-05-01,NUS-NLY,LBY,3033,MBBL,False
2019-05-01,NUS-NSP,ESP,194,MBBL,False
2019-05-01,NUS-NBR,BRA,6610,MBBL,False
2019-05-01,NUS-Z00,U.S.,221769,MBBL,True
2019-05-01,NUS-NBX,BRN,595,MBBL,False
2019-05-01,NUS-NCO,COL,12748,MBBL,False
2019-05-01,NUS-NNI,NGA,7518,MBBL,False
2019-05-01,NUS-NNL,NLD,486,MBBL,False
2019-05-01,NUS-NEG,EGY,456,MBBL,False
2019-05-01,NUS-NAR,ARG,1042,MBBL,False
2019-05-01,NUS-NMX,MEX,18856,MBBL,False
2019-06-01,NUS-NSA,SAU,16861,MBBL,False
2019-06-01,NUS-NSS,NA,603,MBBL,False
2019-06-01,NUS-NKZ,KAZ,24,MBBL,False
2019-06-01,NUS-ME0,NA,46767,MBBL,True
2019-06-01,NUS-NIZ,IRQ,10653,MBBL,False
2019-06-01,NUS-MP0,NA,28284,MBBL,True
2019-06-01,NUS-NEC,ECU,4433,MBBL,False
2019-06-01,NUS-NCD,TCD,476,MBBL,False
2019-06-01,NUS-NTD,TTO,1495,MBBL,False
2019-06-01,NUS-NBH,BLZ,68,MBBL,False
2019-06-01,NUS-NDA,DNK,1033,MBBL,False
2019-06-01,NUS-NCM,CMR,681,MBBL,False
2019-06-01,NUS-NKU,KWT,770,MBBL,False
2019-06-01,NUS-NAG,DZA,998,MBBL,False
2019-06-01,NUS-NAO,AGO,3363,MBBL,False
2019-06-01,NUS-MN0,NA,167796,MBBL,True
2019-06-01,NUS-NRS,RUS,5779,MBBL,False
2019-06-01,NUS-NUK,GBR,1836,MBBL,False
2019-06-01,NUS-NCA,CAN,115147,MBBL,False
2019-06-01,NUS-NGT,GTM,281,MBBL,False
2019-06-01,NUS-NNO,NOR,4527,MBBL,False
2019-06-01,NUS-NEK,GNQ,496,MBBL,False
2019-06-01,NUS-NLY,LBY,1649,MBBL,False
2019-06-01,NUS-NBR,BRA,3902,MBBL,False
2019-06-01,NUS-Z00,U.S.,214563,MBBL,True
2019-06-01,NUS-NBX,BRN,900,MBBL,False
2019-06-01,NUS-NGH,GHA,2440,MBBL,False
2019-06-01,NUS-NCO,COL,10168,MBBL,False
2019-06-01,NUS-NNI,NGA,7544,MBBL,False
2019-06-01,NUS-NEG,EGY,1782,MBBL,False
2019-06-01,NUS-NAR,ARG,299,MBBL,False
2019-06-01,NUS-NMX,MEX,16355,MBBL,False
2019-07-01,NUS-NSA,SAU,12234,MBBL,False
2019-07-01,NUS-NKZ,KAZ,2073,MBBL,False
2019-07-01,NUS-ME0,NA,37437,MBBL,True
2019-07-01,NUS-NIZ,IRQ,10843,MBBL,False
2019-07-01,NUS-MP0,NA,23691,MBBL,True
2019-07-01,NUS-NEC,ECU,5634,MBBL,False
2019-07-01,NUS-NCD,TCD,476,MBBL,False
2019-07-01,NUS-NTD,TTO,2095,MBBL,False
2019-07-01,NUS-NKU,KWT,614,MBBL,False
2019-07-01,NUS-MN0,NA,177646,MBBL,True
2019-07-01,NUS-NRS,RUS,1660,MBBL,False
2019-07-01,NUS-NUK,GBR,2941,MBBL,False
2019-07-01,NUS-NCA,CAN,128152,MBBL,False
2019-07-01,NUS-NCF,COG,897,MBBL,False
2019-07-01,NUS-NNO,NOR,199,MBBL,False
2019-07-01,NUS-NEK,GNQ,505,MBBL,False
2019-07-01,NUS-NLY,LBY,1000,MBBL,False
2019-07-01,NUS-NBR,BRA,7249,MBBL,False
2019-07-01,NUS-Z00,U.S.,215083,MBBL,True
2019-07-01,NUS-NBX,BRN,988,MBBL,False
2019-07-01,NUS-NGH,GHA,449,MBBL,False
2019-07-01,NUS-NCO,COL,9191,MBBL,False
2019-07-01,NUS-NNI,NGA,5710,MBBL,False
2019-07-01,NUS-NAR,ARG,2453,MBBL,False
2019-07-01,NUS-NMX,MEX,19720,MBBL,False
2019-08-01,NUS-NSA,SAU,12929,MBBL,False
2019-08-01,NUS-NKZ,KAZ,623,MBBL,False
2019-08-01,NUS-ME0,NA,46531,MBBL,True
2019-08-01,NUS-NIZ,IRQ,7712,MBBL,False
2019-08-01,NUS-MP0,NA,22065,MBBL,True
2019-08-01,NUS-NEC,ECU,9392,MBBL,False
2019-08-01,NUS-NTD,TTO,998,MBBL,False
2019-08-01,NUS-NDA,DNK,569,MBBL,False
2019-08-01,NUS-NKU,KWT,1424,MBBL,False
2019-08-01,NUS-NAO,AGO,1242,MBBL,False
2019-08-01,NUS-MN0,NA,168742,MBBL,True
2019-08-01,NUS-NRS,RUS,5334,MBBL,False
2019-08-01,NUS-NUK,GBR,2008,MBBL,False
2019-08-01,NUS-NCA,CAN,117579,MBBL,False
2019-08-01,NUS-NGT,GTM,816,MBBL,False
2019-08-01,NUS-NNO,NOR,835,MBBL,False
2019-08-01,NUS-NLY,LBY,2053,MBBL,False
2019-08-01,NUS-NBR,BRA,2870,MBBL,False
2019-08-01,NUS-Z00,U.S.,215273,MBBL,True
2019-08-01,NUS-NBX,BRN,958,MBBL,False
2019-08-01,NUS-NGH,GHA,2051,MBBL,False
2019-08-01,NUS-NCO,COL,10021,MBBL,False
2019-08-01,NUS-NNI,NGA,11779,MBBL,False
2019-08-01,NUS-NEG,EGY,523,MBBL,False
2019-08-01,NUS-NAR,ARG,1596,MBBL,False
2019-08-01,NUS-NMX,MEX,21961,MBBL,False
2019-09-01,NUS-NSA,SAU,13727,MBBL,False
2019-09-01,NUS-NKZ,KAZ,2163,MBBL,False
2019-09-01,NUS-ME0,NA,43071,MBBL,True
2019-09-01,NUS-NIZ,IRQ,11999,MBBL,False
2019-09-01,NUS-MP0,NA,26752,MBBL,True
2019-09-01,NUS-NEC,ECU,5595,MBBL,False
2019-09-01,NUS-NTD,TTO,1050,MBBL,False
2019-09-01,NUS-NAO,AGO,1729,MBBL,False
2019-09-01,NUS-MN0,NA,151414,MBBL,True
2019-09-01,NUS-NRS,RUS,3385,MBBL,False
2019-09-01,NUS-NTC,ARE,1026,MBBL,False
2019-09-01,NUS-NUK,GBR,3039,MBBL,False
2019-09-01,NUS-NCA,CAN,111063,MBBL,False
2019-09-01,NUS-NNO,NOR,2271,MBBL,False
2019-09-01,NUS-NLY,LBY,2072,MBBL,False
2019-09-01,NUS-NBR,BRA,2460,MBBL,False
2019-09-01,NUS-Z00,U.S.,194485,MBBL,True
2019-09-01,NUS-NBX,BRN,2026,MBBL,False
2019-09-01,NUS-NGH,GHA,948,MBBL,False
2019-09-01,NUS-NCO,COL,7309,MBBL,False
2019-09-01,NUS-NNI,NGA,6923,MBBL,False
2019-09-01,NUS-NEG,EGY,11,MBBL,False
2019-09-01,NUS-NMX,MEX,15689,MBBL,False
2019-10-01,NUS-NSA,SAU,12993,MBBL,False
2019-10-01,NUS-ME0,NA,37142,MBBL,True
2019-10-01,NUS-NIZ,IRQ,7822,MBBL,False
2019-10-01,NUS-MP0,NA,20815,MBBL,True
2019-10-01,NUS-NEC,ECU,7441,MBBL,False
2019-10-01,NUS-NTD,TTO,2130,MBBL,False
2019-10-01,NUS-NCM,CMR,527,MBBL,False
2019-10-01,NUS-NPE,PER,209,MBBL,False
2019-10-01,NUS-NAO,AGO,1670,MBBL,False
2019-10-01,NUS-MN0,NA,156351,MBBL,True
2019-10-01,NUS-NRS,RUS,4792,MBBL,False
2019-10-01,NUS-NUK,GBR,884,MBBL,False
2019-10-01,NUS-NCA,CAN,116574,MBBL,False
2019-10-01,NUS-NGT,GTM,281,MBBL,False
2019-10-01,NUS-NNO,NOR,279,MBBL,False
2019-10-01,NUS-NEK,GNQ,663,MBBL,False
2019-10-01,NUS-NLY,LBY,2669,MBBL,False
2019-10-01,NUS-NBR,BRA,7005,MBBL,False
2019-10-01,NUS-Z00,U.S.,193493,MBBL,True
2019-10-01,NUS-NBX,BRN,971,MBBL,False
2019-10-01,NUS-NCO,COL,6233,MBBL,False
2019-10-01,NUS-NNI,NGA,3884,MBBL,False
2019-10-01,NUS-NAR,ARG,1355,MBBL,False
2019-10-01,NUS-NMX,MEX,15111,MBBL,False
2019-11-01,NUS-NSA,SAU,10565,MBBL,False
2019-11-01,NUS-NSS,NA,41,MBBL,False
2019-11-01,NUS-NKZ,KAZ,1017,MBBL,False
2019-11-01,NUS-ME0,NA,37053,MBBL,True
2019-11-01,NUS-NIZ,IRQ,7071,MBBL,False
2019-11-01,NUS-MP0,NA,18868,MBBL,True
2019-11-01,NUS-NEC,ECU,7956,MBBL,False
2019-11-01,NUS-NTD,TTO,1376,MBBL,False
2019-11-01,NUS-NCM,CMR,947,MBBL,False
2019-11-01,NUS-NKU,KWT,1232,MBBL,False
2019-11-01,NUS-NAG,DZA,455,MBBL,False
2019-11-01,NUS-NAO,AGO,759,MBBL,False
2019-11-01,NUS-MN0,NA,137478,MBBL,True
2019-11-01,NUS-NRS,RUS,2125,MBBL,False
2019-11-01,NUS-NUK,GBR,1948,MBBL,False
2019-11-01,NUS-NCA,CAN,100818,MBBL,False
2019-11-01,NUS-NNO,NOR,626,MBBL,False
2019-11-01,NUS-NLY,LBY,2685,MBBL,False
2019-11-01,NUS-NBR,BRA,2181,MBBL,False
2019-11-01,NUS-Z00,U.S.,174531,MBBL,True
2019-11-01,NUS-NBX,BRN,999,MBBL,False
2019-11-01,NUS-NCO,COL,7017,MBBL,False
2019-11-01,NUS-NNI,NGA,6330,MBBL,False
2019-11-01,NUS-NMX,MEX,18383,MBBL,False
2019-12-01,NUS-NSA,SAU,14034,MBBL,False
2019-12-01,NUS-ME0,NA,40749,MBBL,True
2019-12-01,NUS-NIZ,IRQ,11957,MBBL,False
2019-12-01,NUS-MP0,NA,27178,MBBL,True
2019-12-01,NUS-NEC,ECU,7196,MBBL,False
2019-12-01,NUS-NTD,TTO,1886,MBBL,False
2019-12-01,NUS-NBH,BLZ,75,MBBL,False
2019-12-01,NUS-NDA,DNK,500,MBBL,False
2019-12-01,NUS-NCM,CMR,561,MBBL,False
2019-12-01,NUS-NPE,PER,258,MBBL,False
2019-12-01,NUS-NKU,KWT,1187,MBBL,False
2019-12-01,NUS-NAG,DZA,144,MBBL,False
2019-12-01,NUS-NAO,AGO,341,MBBL,False
2019-12-01,NUS-MN0,NA,171088,MBBL,True
2019-12-01,NUS-NRS,RUS,5242,MBBL,False
2019-12-01,NUS-NUK,GBR,513,MBBL,False
2019-12-01,NUS-NCA,CAN,128235,MBBL,False
2019-12-01,NUS-NGT,GTM,294,MBBL,False
2019-12-01,NUS-NNO,NOR,495,MBBL,False
2019-12-01,NUS-NLY,LBY,1039,MBBL,False
2019-12-01,NUS-NBR,BRA,3325,MBBL,False
2019-12-01,NUS-Z00,U.S.,211837,MBBL,True
2019-12-01,NUS-NBX,BRN,2981,MBBL,False
2019-12-01,NUS-NCO,COL,9068,MBBL,False
2019-12-01,NUS-NNI,NGA,4851,MBBL,False
2019-12-01,NUS-NEG,EGY,501,MBBL,False
2019-12-01,NUS-NMX,MEX,17154,MBBL,False
2020-01-01,NUS-NSA,SAU,12423,MBBL,False
2020-01-01,NUS-NKZ,KAZ,1047,MBBL,False
2020-01-01,NUS-ME0,NA,27056,MBBL,True
2020-01-01,NUS-NIZ,IRQ,9268,MBBL,False
2020-01-01,NUS-MP0,NA,23055,MBBL,True
2020-01-01,NUS-NEC,ECU,7147,MBBL,False
2020-01-01,NUS-NTD,TTO,879,MBBL,False
2020-01-01,NUS-NCM,CMR,516,MBBL,False
2020-01-01,NUS-NPE,PER,171,MBBL,False
2020-01-01,NUS-NKU,KWT,1364,MBBL,False
2020-01-01,NUS-NAO,AGO,1,MBBL,False
2020-01-01,NUS-MN0,NA,171676,MBBL,True
2020-01-01,NUS-NRS,RUS,2959,MBBL,False
2020-01-01,NUS-NUK,GBR,1005,MBBL,False
2020-01-01,NUS-NCA,CAN,120189,MBBL,False
2020-01-01,NUS-NNO,NOR,20,MBBL,False
2020-01-01,NUS-NLY,LBY,2074,MBBL,False
2020-01-01,NUS-NBR,BRA,2516,MBBL,False
2020-01-01,NUS-Z00,U.S.,198732,MBBL,True
2020-01-01,NUS-NBX,BRN,1488,MBBL,False
2020-01-01,NUS-NGH,GHA,944,MBBL,False
2020-01-01,NUS-NCO,COL,9735,MBBL,False
2020-01-01,NUS-NNI,NGA,1926,MBBL,False
2020-01-01,NUS-NEG,EGY,472,MBBL,False
